processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
FFES021-18,23-Jul,9557796,MIMB21286,23-Jul,A.V. Zhirmunsky National Scientific Center of Marine Biology,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,A. S. Sokolovskii,,"Pallas, 1814",,Vouchered:Registered Collection,,,A. S. Sokolovskii,,,,,,,,,,,,,,,42.89,132.73,,,,,,,Russia,Primorskiy Kray,Sea of Japan,Peter the Great Bay,Vostok Bay,,,,,,,,,
FFES022-18,25-Jul,9557797,MIMB21285,25-Jul,A.V. Zhirmunsky National Scientific Center of Marine Biology,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,A. S. Sokolovskii,,"Pallas, 1814",,Vouchered:Registered Collection,,,A. S. Sokolovskii,,,,,,,,,,,,,,,42.89,132.73,,,,,,,Russia,Primorskiy Kray,Sea of Japan,Peter the Great Bay,Vostok Bay,,,,,,,,,
FFES023-18,24-Jul,9557798,MIMB21289,24-Jul,A.V. Zhirmunsky National Scientific Center of Marine Biology,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,A. S. Sokolovskii,,"Pallas, 1814",,Vouchered:Registered Collection,,,A. S. Sokolovskii,,,,,,,,,,,,,,,42.89,132.73,,,,,,,Russia,Primorskiy Kray,Sea of Japan,Peter the Great Bay,Vostok Bay,,,,,,,,,
FHAK053-17,MAL_1107,8336541,MAL_1107,MAL_1107,"University of British Columbia, Beaty Biodiversity Museum",,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,,morphology,"Pallas, 1814",,,,,Hakai Institute Nearshore Technicians,,,morning,abiotic and biotic features: sand and seagrass,"GOG1, FHAK8",beach seine,,,,seagrass bed,,,,,51.925,-128.469,garmin,20,0,1,,1,Canada,British Columbia,Central Coast,Goose Island,Goose Island Southwest,3209667,http://www.boldsystems.org/pics/FHAK/MAL1107A+1501156868.JPG,Lateral,,Matt Lemay,2017,CreativeCommons - Attribution No Derivatives,Hakai Institute,Tanya Prinzing
FHAK060-17,MAL_1103,8336548,MAL_1103,MAL_1103,"University of British Columbia, Beaty Biodiversity Museum",,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,,morphology,"Pallas, 1814",,,,,Hakai Institute Nearshore Technicians,,,morning,abiotic and biotic features: sand and seagrass,"GOG1, FHAK8",beach seine,,,,seagrass bed,,,,,51.925,-128.469,garmin,20,0,1,,1,Canada,British Columbia,Central Coast,Goose Island,Goose Island Southwest,3209663,http://www.boldsystems.org/pics/FHAK/MAL1103C+1505513268.JPG,Lateral,,Matt Lemay,2017,CreativeCommons - Attribution No Derivatives,Hakai Institute,Tanya Prinzing
FHAK246-21,BHAK-10630,13926949,BHAK-10630,BHAK-10630,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Hakai Staff,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Hakai Institute,,,,,KOE3,beach seine,,,,benthic macroalgae,,,,,51.776,-127.879,,,,2,,,Canada,British Columbia,Central Coast,,Koeye River Estuary,,,,,,,,,
FHAK259-21,BHAK-10631,13926962,BHAK-10631,BHAK-10631,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Hakai Staff,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Hakai Institute,,,,,GOG1,beach seine,,,,seagrass meadow,,,,,51.925,-128.469,,,,1,,,Canada,British Columbia,Central Coast,,Duck Island,,,,,,,,,
FHAK260-21,BHAK-10632,13926963,BHAK-10632,BHAK-10632,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Hakai Staff,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Hakai Institute,,,,,GOG1,beach seine,,,,seagrass meadow,,,,,51.925,-128.469,,,,1,,,Canada,British Columbia,Central Coast,,Duck Island,,,,,,,,,
FHAK264-21,BHAK-10636,13926967,BHAK-10636,BHAK-10636,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Hakai Staff,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Hakai Institute,,,,,GOG1,beach seine,,,,seagrass meadow,,,,,51.925,-128.469,,,,1,,,Canada,British Columbia,Central Coast,,Duck Island,,,,,,,,,
FHAK265-21,BHAK-10637,13926968,BHAK-10637,BHAK-10637,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Hakai Staff,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Hakai Institute,,,,,GOG1,beach seine,,,,seagrass meadow,,,,,51.925,-128.469,,,,1,,,Canada,British Columbia,Central Coast,,Duck Island,,,,,,,,,
FHAK266-21,BHAK-10638,13926969,BHAK-10638,BHAK-10638,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Hakai Staff,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Hakai Institute,,,,,GOG1,beach seine,,,,seagrass meadow,,,,,51.925,-128.469,,,,1,,,Canada,British Columbia,Central Coast,,Duck Island,,,,,,,,,
FHAK292-21,BHAK-10740,13972256,,BHAK-10740,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Jennifer Yakimishyn,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Jennifer Yakimishyn,,,,,,beach seine,,,,,,,,,49.183,-125.95,,,,,,,Canada,British Columbia,West Vancouver Island,,Mud Bay,,,,,,,,,
FHAK297-21,BHAK-10711,13972261,,BHAK-10711,Hakai Institute,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Jennifer Yakimishyn,morphology,"Pallas, 1814",,E-Vouchered:DNA/Tissue+Photo,fin clip,,Jennifer Yakimishyn,,,,,,beach seine,,,,,,,,,48.963,-125.309,,,,,,,Canada,British Columbia,West Vancouver Island,,Mayne Bay,,,,,,,,,
FMV547-11,UW150453,2129577,UW 150453,,"University of Washington, Fish Collection",,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Theodore W. Pietsch,,"Pallas, 1814",,,,,L.L. BRITT,,,,,,,,,,,,,,,,,,,,,,,United States,Washington,Eastern North Pacific,,"SAN JUAN ISLAND, JACKSON BEACH",,,,,,,,,
GBGCA12745-15,KP827340,6165629,UAM:Fish:2941:::157335,KP827340,"Mined from GenBank, NCBI",,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,,,"Pallas, 1814",,,,,,,,,,,,,,,,,,taxon:573213,,,,,,,,,,United States,Alaska,"AK, Alaska Sea Life Center",,,,,,,,,,,
GBGCA12746-15,KP827341,6165630,UAM:Fish:2941:::157336,KP827341,"Mined from GenBank, NCBI",,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,,,"Pallas, 1814",,,,,,,,,,,,,,,,,,taxon:573213,,,,,,,,,,United States,Alaska,"AK, Alaska Sea Life Center",,,,,,,,,,,
GBMNE78677-22,MZ712774,16490566,ESFRII 20,,"Mined from GenBank, NCBI",,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,,,"Pallas, 1814",,,,,,,,,,,,,,,,,,,,38.3,128.27,,,,,,,South Korea,,,,,,,,,,,,,
MFC331-08,MFC332,718815,SIO 05-185,,Scripps Institution of Oceanography,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Philip A. Hastings,,"Pallas, 1814",,,,,G Jensen & D Stevenson,,,,,,,,,,,,,FAO-67,,46.237,141.233,,,,,,,Japan,,,,South Moneron Island,,,,,,,,,
SDP167003-14,UW-86,4455295,44972,MO-01-MIR-036,Burke Museum of Natural History and Culture,,BOLD:AAE6752,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1295,Agonidae,747053,Hemitripterinae,110736,Blepsias,125608,Blepsias cirrhosus,,,Katherine Maslenikov,morphology,"Pallas, 1814",,Vouchered:Registered Collection,Muscle or fin clip,,"G. JENSEN, D. STEVENSON",,,,,,,,,S,,,,,"::meta:{""specimen"":[""Noah Baker"",""Eden Gomes""],""image"":[""Noah Baker"",""Eden Gomes""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Noah Baker"",""Eden Gomes""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Noah Baker"",""Eden Gomes""]}::endMeta:",46.2367,141.233,GPS,,,,,,Russia,,WESTERN NORTH PACIFIC,,SOUTHERN MONERON ISLAND; ENVIRONS OF UNNAMED STREA,2292421,http://www.boldsystems.org/pics/SDP167/UW-86+1397681622.JPG,Lateral,,,2014,CreativeCommons - Attribution Share-Alike,Sky Valley Education Center,U. Washington